Trainer,Format,Fight Gimmick,Slot,Role,Pokemon,Level,Item,Ability,Move 1,Move 2,Move 3,Move 4,Notes
Phoebe,Doubles,Trick Room + Shedinja @ Heavy-Duty Boots,3,,Mimikyu,62,,Disguise,Play Rough,Shadow Claw,Shadow Sneak,Protect,
Phoebe,Doubles,Trick Room + Shedinja @ Heavy-Duty Boots,4,,Dragapult,62,,Clear Body,Shadow Ball,Draco Meteor,U-turn,Protect,
Phoebe,Doubles,Trick Room + Shedinja @ Heavy-Duty Boots,5,,Chandelure,62,,Flash Fire,Shadow Ball,Heat Wave,Energy Ball,Protect,
Phoebe,Doubles,Trick Room + Shedinja @ Heavy-Duty Boots,6,Ace,Aegislash,63,Leftovers,Stance Change,Shadow Ball,Flash Cannon,King's Shield,Sacred Sword,
Glacia,Singles,Snow via Alolan Ninetales,1,Lead,Ninetales-Alola,62,Icium Z,Snow Warning,Aurora Veil,Moonblast,Freeze-Dry,Encore,
Glacia,Singles,Snow via Alolan Ninetales,2,,Baxcalibur,63,Loaded Dice,Thermal Exchange,Glaive Rush,Icicle Spear,Earthquake,Dragon Dance,
Glacia,Singles,Snow via Alolan Ninetales,3,,Avalugg,63,,Sturdy,Body Press,Recover,Rock Slide,Rapid Spin,
Glacia,Singles,Snow via Alolan Ninetales,4,,Frosmoth,62,,Ice Scales,Quiver Dance,Bug Buzz,Ice Beam,Giga Drain,
Glacia,Singles,Snow via Alolan Ninetales,5,,Mamoswine,63,Focus Sash,Thick Fat,Icicle Crash,Earthquake,Ice Shard,Stone Edge,
Glacia,Singles,Snow via Alolan Ninetales,6,Ace,Cetitan,64,Leftovers,Slush Rush,Ice Spinner,Earthquake,Belly Drum,Ice Shard,
Drake,Singles,Dynamax battle (flag on),1,,Cyclizar,63,,Regenerator,Shed Tail,Knock Off,U-turn,Dragon Claw,
Drake,Singles,Dynamax battle (flag on),2,,Noivern,63,,Infiltrator,Draco Meteor,Hurricane,Flamethrower,U-turn,
Drake,Singles,Dynamax battle (flag on),3,,Haxorus,63,Lum Berry,Mold Breaker,Outrage,Earthquake,Poison Jab,Dragon Dance,
Drake,Singles,Dynamax battle (flag on),4,,Dragalge,64,,Adaptability,Sludge Wave,Draco Meteor,Toxic Spikes,Flip Turn,
Drake,Singles,Dynamax battle (flag on),5,,Salamence,64,,Intimidate,Dual Wingbeat,Outrage,Earthquake,Dragon Dance,
Drake,Singles,Dynamax battle (flag on),6,Ace,Duraludon,65,,Light Metal,Draco Meteor,Flash Cannon,Thunderbolt,Stealth Rock,Gigantamax: Yes; Dynamax Level: 10
Wallace,Singles,1 legendary + 1 pseudo + 4 fully evolved,1,,Milotic,65,Leftovers,Marvel Scale,Scald,Recover,Ice Beam,Haze,
Wallace,Singles,1 legendary + 1 pseudo + 4 fully evolved,2,,Gyarados,65,,Intimidate,Waterfall,Earthquake,Ice Fang,Dragon Dance,
Wallace,Singles,1 legendary + 1 pseudo + 4 fully evolved,3,,Swampert,65,,Torrent,Liquidation,Earthquake,Ice Punch,Flip Turn,
Wallace,Singles,1 legendary + 1 pseudo + 4 fully evolved,4,,Kingdra,65,Life Orb,Swift Swim,Hydro Pump,Draco Meteor,Ice Beam,Hurricane,
Wallace,Singles,1 legendary + 1 pseudo + 4 fully evolved,5,Pseudo,Dragonite,65,Lum Berry,Multiscale,Dual Wingbeat,Earthquake,Extreme Speed,Dragon Dance,
Wallace,Singles,1 legendary + 1 pseudo + 4 fully evolved,6,Legend Ace,Kyogre,65,Blue Orb,Drizzle / Primordial Sea if Primal,Origin Pulse,Ice Beam,Thunder,Calm Mind,Alt: Suicune if Kyogre too stacked after Juan
